OID_,Value,Count,sclass
0,0,41749.000000000000000,Acrisols
1,2,499.000000000000000,Alisols
2,3,1356.000000000000000,Andosols
3,4,788.000000000000000,Arenosols
4,6,6346.000000000000000,Cambisols
5,10,40513.000000000000000,Ferralsols
6,11,820.000000000000000,Fluvisols
7,12,2298.000000000000000,Gleysols
8,14,1106.000000000000000,Histosols
9,17,1532.000000000000000,Lixisols
10,16,384.000000000000000,Leptosols
11,18,580.000000000000000,Luvisols
12,19,55.000000000000000,Nitisols
13,20,2.000000000000000,Phaeozems
14,21,308.000000000000000,Planosols
15,22,1368.000000000000000,Plinthosols
16,23,56.000000000000000,Podzols
17,24,4.000000000000000,Regosols
18,29,47.000000000000000,Vertisols
